DATE,INTDSRAUM193N
1969-07-01,5.5
1969-08-01,5.5
1969-09-01,5.5
1969-10-01,5.5
1969-11-01,5.5
1969-12-01,5.5
1970-01-01,5.5
1970-02-01,5.6999999990000001
1970-03-01,5.6999999990000001
1970-04-01,6
1970-05-01,6
1970-06-01,6
1970-07-01,6
1970-08-01,6.2999999989999997
1970-09-01,6.2999999989999997
1970-10-01,6.2999999989999997
1970-11-01,6.2999999989999997
1970-12-01,6.2999999989999997
1971-01-01,6.2999999989999997
1971-02-01,6.2999999989999997
1971-03-01,6.2999999989999997
1971-04-01,6.2999999989999997
1971-05-01,6.2999999989999997
1971-06-01,6
1971-07-01,6
1971-08-01,6
1971-09-01,6
1971-10-01,6
1971-11-01,5.6999999990000001
1971-12-01,5.6999999990000001
1972-01-01,5.3999999990000003
1972-02-01,5.1999999990000001
1972-03-01,5.1999999990000001
1972-04-01,5.1999999990000001
1972-05-01,5.1999999990000001
1972-06-01,5.0999999989999996
1972-07-01,4.6999999990000001
1972-08-01,4.6999999990000001
1972-09-01,4.5999999989999996
1972-10-01,4.5
1972-11-01,4.5
1972-12-01,4.3999999990000003
1973-01-01,4.3999999990000003
1973-02-01,4.3999999990000003
1973-03-01,4.5999999989999996
1973-04-01,4.8999999990000003
1973-05-01,5.0999999989999996
1973-06-01,5.6999999990000001
1973-07-01,5.7999999989999997
1973-08-01,5.7999999989999997
1973-09-01,8
1973-10-01,8.3000000000000007
1973-11-01,8.3000000000000007
1973-12-01,8.3000000000000007
1974-01-01,8.3000000000000007
1974-02-01,8.3000000000000007
1974-03-01,8.5
1974-04-01,9.3000000000000007
1974-05-01,11
1974-06-01,12
1974-07-01,12
1974-08-01,12
1974-09-01,12
1974-10-01,10.5
1974-11-01,9.6999999989999992
1974-12-01,9
1975-01-01,9
1975-02-01,9
1975-03-01,9
1975-04-01,9
1975-05-01,9
1975-06-01,9
1975-07-01,8.5
1975-08-01,8.4000000000000004
1975-09-01,8.4000000000000004
1975-10-01,8.4000000000000004
1975-11-01,8.4000000000000004
1975-12-01,8.4000000000000004
1976-01-01,8.1999999989999992
1976-02-01,8.1999999989999992
1976-03-01,8.1999999989999992
1976-04-01,8.1999999989999992
1976-05-01,8.1999999999999993
1976-06-01,8.1999999989999992
1976-07-01,8.1999999989999992
1976-08-01,8.5999999989999996
1976-09-01,9
1976-10-01,9
1976-11-01,10
1976-12-01,10
1977-01-01,10
1977-02-01,10
1977-03-01,10
1977-04-01,10
1977-05-01,10
1977-06-01,10
1977-07-01,10
1977-08-01,10
1977-09-01,10
1977-10-01,9.6999999989999992
1977-11-01,9.5999999989999996
1977-12-01,9.5999999989999996
1978-01-01,9.5999999989999996
1978-02-01,9.4000000000000004
1978-03-01,9.4000000000000004
1978-04-01,9.4000000000000004
1978-05-01,9.4000000000000004
1978-06-01,9.4000000000000004
1978-07-01,9.4000000000000004
1978-08-01,9.4000000000000004
1978-09-01,9.4000000000000004
1978-10-01,9.1999999989999992
1978-11-01,9.0999999989999996
1978-12-01,9.0999999989999996
1979-01-01,9.0999999989999996
1979-02-01,9.0999999989999996
1979-03-01,9.0999999989999996
1979-04-01,9.5999999989999996
1979-05-01,9.5999999989999996
1979-06-01,9.5999999989999996
1979-07-01,9.5999999989999996
1979-08-01,9.5999999989999996
1979-09-01,9.5999999989999996
1979-10-01,9.8000000000000007
1979-11-01,9.8000000000000007
1979-12-01,9.8000000000000007
1980-01-01,9.8000000000000007
1980-02-01,9.8000000000000007
1980-03-01,10.800000000000001
1980-04-01,11.300000000000001
1980-05-01,11.300000000000001
1980-06-01,11.300000000000001
1980-07-01,11.300000000000001
1980-08-01,11.300000000000001
1980-09-01,11.300000000000001
1980-10-01,11.300000000000001
1980-11-01,11.800000000000001
1980-12-01,12
1981-01-01,12.599999999
1981-02-01,12.599999999
1981-03-01,12.599999999
1981-04-01,13.699999998999999
1981-05-01,13.699999998999999
1981-06-01,13.699999998999999
1981-07-01,13.699999998999999
1981-08-01,14.299999999000001
1981-09-01,14
1981-10-01,13.799999999000001
1981-11-01,13.799999999000001
1981-12-01,13.799999999000001
1982-01-01,14.5
1982-02-01,16.5
1982-03-01,18.5
1982-04-01,18.5
1982-05-01,16.799999999000001
1982-06-01,16.799999999000001
1982-07-01,16.399999999999999
1982-08-01,16.099999999000001
1982-09-01,14
1982-10-01,14.5
1982-11-01,14.799999999000001
1982-12-01,11.699999998999999
1983-01-01,12
1983-02-01,15.299999999000001
1983-03-01,15.099999999
1983-04-01,12.9
1983-05-01,11.5
1983-06-01,13.199999998999999
1983-07-01,12
1983-08-01,12
1983-09-01,11
1983-10-01,11
1983-11-01,10.199999998999999
1983-12-01,9.5
1984-01-01,10.300000000000001
1984-02-01,11.5
1984-03-01,13.299999999000001
1984-04-01,13.299999999000001
1984-05-01,12.699999998999999
1984-06-01,12.300000000000001
1984-07-01,12.300000000000001
1984-08-01,11.300000000000001
1984-09-01,11.199999998999999
1984-10-01,11.5
1984-11-01,12
1984-12-01,12.699999998999999
1985-01-01,12.699999998999999
1985-02-01,14
1985-03-01,15
1985-04-01,15.5
1985-05-01,15.699999998999999
1985-06-01,15.699999998999999
1985-07-01,15.699999998999999
1985-08-01,16.5
1985-09-01,16.5
1985-10-01,16.5
1985-11-01,19
1985-12-01,19
1986-01-01,19
1986-02-01,18.099999999000001
1986-03-01,16.699999998999999
1986-04-01,15.5
1986-05-01,14.6
1986-06-01,14.6
1986-07-01,16
1986-08-01,18
1986-09-01,18
1986-10-01,17.800000000000001
1986-11-01,17.600000000000001
1986-12-01,17.199999999999999
1987-01-01,17.600000000000001
1987-02-01,17.600000000000001
1987-03-01,17
1987-04-01,16.300000000000001
1987-05-01,15.5
1987-06-01,14.800000000000001
1987-07-01,14.4
1987-08-01,14.1
1987-09-01,13.300000000000001
1987-10-01,13.300000000000001
1987-11-01,13
1987-12-01,12.5
1988-01-01,12.5
1988-02-01,12.5
1988-03-01,12.5
1988-04-01,12.5
1988-05-01,12.5
1988-06-01,12.5
1988-07-01,12.699999999999999
1988-08-01,12.699999999999999
1988-09-01,13.800000000000001
1988-10-01,14.199999999999999
1988-11-01,15
1988-12-01,15
1989-01-01,15.4
1989-02-01,16.399999999999999
1989-03-01,16.399999999999999
1989-04-01,16.600000000000001
1989-05-01,17.600000000000001
1989-06-01,17.600000000000001
